period_start,n_observations,mean_radiance,mean_residual,median_residual,std_residual
2020-05-24,308,170.88969824654717,19.095812744828194,27.551069671581644,50.78083414398624
2020-05-25,333,160.29883124090887,8.520209061784966,10.906109655177744,48.50905148757154
2020-05-26,313,160.01683628460088,8.254535275281667,16.79938692962861,52.37354047920978
2020-05-27,268,160.4949549091396,8.749102938516355,24.986227247621684,63.547932733242725
2020-05-28,318,163.954319091413,12.224690471402957,22.060075963132675,55.059045827480105
2020-05-29,219,158.59344046257402,6.8805640476089245,19.472939462896164,61.62769723722197
2020-05-30,299,146.92296098689968,-4.774296150743234,10.99005538410907,63.545943386184625
2020-05-31,329,156.8282413471071,5.146668984143281,12.965436727182976,55.74016872948906
2020-06-01,291,166.5304586718582,14.865042630554976,24.091783585463617,62.46880656760116
2020-06-02,294,155.03521312272468,3.3857671618861165,12.669247982401217,57.417567026907314
2020-06-03,300,158.31783591715495,6.683728809292029,19.21588524220367,58.38114337617925
2020-06-04,302,151.79802441123306,0.18021546650729503,12.696939924069426,68.87969462338936
2020-06-05,239,154.63035234906187,3.0293894638400563,5.204679654418499,47.23959648956011
2020-06-06,325,167.93764029634914,16.352189434456353,22.861559397242218,49.792913828240906
2020-06-07,261,164.2937517188061,12.72390406148703,19.60786379245789,51.090798767380114
2020-06-08,304,168.1800183346397,16.627519936601505,26.16669085984927,55.098307749656556
2020-06-09,150,173.88087076822916,22.34003501962001,26.174274637672212,38.76574470969074
2020-06-10,277,167.9748424433629,16.454854750151156,22.926211103182823,49.45780729284707
2020-06-11,301,154.88755852075113,3.3826282658146583,15.75980553273871,60.741466973182554
2020-06-12,305,176.9555899998399,25.466583246635263,29.494450977166196,46.73499666123568
2020-06-13,283,177.0998038032451,25.626136051017202,31.465348969233048,40.78165459958206
2020-06-14,303,156.56704678677096,5.109785759730507,9.91847713637506,49.791330976301936
2020-06-15,299,167.48522674662613,16.04358604008568,23.00387791018133,52.20275651725262
2020-06-16,236,157.17737206927802,5.751600302519061,22.691696316284734,66.44135541174091
2020-06-17,257,166.6093385214008,15.199862865063222,23.038395251890194,53.488275266966944
2020-06-18,314,162.4723176312295,11.079947166351443,22.40334785945818,60.522621589503245
2020-06-19,245,148.96874343560665,-2.406471579031251,8.048922951774529,60.86656836286027
2020-06-20,276,171.72715006289275,20.366539260968324,28.966117376056005,51.51144430889492
2020-06-21,292,158.27869398561245,6.933595223821858,18.855175436209436,53.59304254478704
2020-06-22,245,167.19615363919004,15.867513581228087,28.34065565573988,59.254254017806495
2020-06-23,215,170.8186890074264,19.505350101468938,21.832896409894488,47.94200714235414
2020-06-24,334,169.19480602698414,17.89815948212309,20.21150781227341,40.74845652475254
2020-06-25,307,165.76402572979757,14.483714424470366,18.60076996144778,61.97633454898319
2020-06-26,286,160.2445320716271,8.980777947587868,18.280385619626458,57.41609049387028
2020-06-27,296,169.99058294554015,18.742996325437648,20.590348582710803,45.754265474642025
2020-06-28,306,172.31835822809757,21.08680487203925,29.74815622687983,47.54491447031885
2020-06-29,300,166.35416373697916,15.138116024793487,20.616222648224394,62.26407401773915
2020-06-30,305,164.98517820264473,13.78586119471732,25.205501189896836,52.03853738531241
2020-07-01,274,160.91493391050912,9.731309872747358,17.37853104516938,57.843729358838054
2020-07-02,269,165.17134737489835,14.003434659678959,25.895397140171895,54.33134908754565
2020-07-03,230,172.37908970045007,21.22736224335264,31.466745435700744,49.11853276283621
2020-07-04,279,145.48851544780115,-5.64687635484829,3.064512059621819,56.74673458885474
2020-07-05,311,168.4723386022439,17.352748075509805,22.67595121434971,49.10819283246518
2020-07-06,271,162.4792970213943,11.37655943780492,18.767702294468137,53.32461558688793
2020-07-07,213,163.08540066284752,11.998789269767842,18.78502230470201,51.13073721412228
2020-07-08,287,148.43564851873845,-2.635122569990234,8.347467287866323,59.32960839407317
2020-07-09,290,149.4662349937702,-1.5887453338169073,6.407194375066879,59.94238185508666
2020-07-10,243,170.62375024866176,19.58422220991495,26.677971316489106,45.185738144881945
2020-07-11,277,157.59184368698178,6.569137704862715,16.892861770620442,57.642521637540085
2020-07-12,281,154.974198375987,3.9671464891786363,19.512714465332863,61.91873082380088
2020-07-13,255,146.54223922430302,-4.4495582223041685,12.341758628194981,63.04353869389615
2020-07-14,229,160.48118976443095,9.507286085427948,16.292108667608346,54.93315248831824
2020-07-15,308,169.6572237287249,18.698008075519617,22.17625752713556,43.49960839092574
2020-07-16,305,152.53277953100985,1.5898982436229145,17.625773354811827,57.01236319178651
2020-07-17,228,149.13228227046497,-1.7938630317708448,5.877734359897659,61.04455865748641
2020-07-18,294,159.63095614893905,8.719949068337721,16.67924140688602,71.50615146658022
2020-07-19,270,166.13250531231915,15.237360594400673,21.587582705567954,51.537759219962396
2020-07-20,286,147.38521963266226,-3.4926101620125833,10.504686433167038,62.70278400371641
2020-07-21,270,149.8106049375181,-1.051812185474177,8.881496688312978,54.312674250776446
2020-07-22,281,171.5941883236488,20.74795745465682,27.519029802958556,47.196356177049154
2020-07-23,252,138.87010926746186,-11.960755934994067,5.321418849143683,71.74036745753793
2020-07-24,249,151.13082359957406,0.31704757979901066,12.525051846606914,57.91797265054488
2020-07-25,286,158.22277127779446,7.424516050105968,22.995055395171775,60.16772486384226
2020-07-26,248,153.5000788165677,2.7174883296117134,19.416129637589577,64.21694608412436
2020-07-27,292,168.66085265695233,17.894405385972664,27.597689192642733,63.44664544475465
2020-07-28,243,172.39830823356723,21.64738654173956,28.922665993193135,52.10856869569729
2020-07-29,283,157.69062572250098,6.956497804513188,20.442993867366397,61.36025360642363
2020-07-30,268,176.0171303820254,25.29863095392707,38.09773788452381,54.85737284360175
2020-07-31,170,172.6561410701976,21.955832662708904,33.55053258084702,53.348970981825296
2020-08-01,251,156.62678756409906,5.941092898827956,31.607304225219508,68.94578306975434
2020-08-02,254,159.5716011467881,8.900582989056762,19.852121980752997,50.67314194215606
2020-08-03,268,157.77424691043683,7.120327944712184,16.279123837748585,61.06531906858475
2020-08-04,270,143.71499825936777,-6.923396214645626,5.184483862336535,62.42396728792522
2020-08-05,280,164.6000477382115,13.978450387939256,25.453125078092484,57.47653292718281
2020-08-06,140,158.57513530186245,7.967712127935127,23.511301951885088,61.76673072089841
2020-08-07,211,152.44034160595933,1.8518708777008797,13.398151794378293,76.75382901288124
2020-08-08,236,153.81921248355152,3.245702341653579,20.28007328890122,62.3160438368569
2020-08-09,285,153.17509046052632,2.6173460765696333,10.816173378322844,52.9415879770313
2020-08-10,280,155.5066767992292,4.965061180237482,19.662256685787483,64.26266971397744
2020-08-11,248,147.92807732858967,-2.596678248422274,12.162133822952484,65.46019133844283
2020-08-12,125,137.58715915527344,-12.922637224632098,2.382829212902692,67.77780740709429
2020-08-13,179,172.57828752741466,22.085615712100076,27.222163138357672,71.48664893457682
2020-08-14,284,153.2957368447747,2.817924382136312,15.472044180849409,58.12183451180061
2020-08-15,292,165.97804915545737,15.516676420072322,32.478742433438526,58.12449879856648
2020-08-16,261,163.32497656811245,12.879657622454108,27.265279145803987,55.80777695442375
2020-08-17,206,137.7384341934352,-12.691745316034103,8.01227147707823,66.76907202563666
2020-08-18,261,159.92550200831388,9.511757182408877,21.428188742929564,54.54109247362897
2020-08-19,188,143.5619555047218,-6.835800409167638,18.16956368256031,71.2259723689885
2020-08-20,287,138.35523731617147,-12.025464937696455,3.815484505924502,60.93698530101424
2020-08-21,158,150.38858194471914,0.024116961909732906,16.562065666231106,63.34654564139297
2020-08-22,279,159.4643304749629,9.115462855321436,25.40868429918916,58.25815180388423
2020-08-23,215,148.52847741415334,-1.804215060350295,18.893385885978574,67.62016278748213
2020-08-24,202,137.31556840651106,-13.00281078515114,5.508272141225746,70.15463390744969
2020-08-25,217,140.10808091405352,-10.192907880775936,13.693428414437562,72.79408580878393
2020-08-26,271,160.4083146324017,10.123896018395566,22.856840247365454,54.21767478445054
2020-08-27,263,153.01293375573684,2.7439592710423635,25.477663219534634,68.4685215927645
2020-08-28,253,151.1998963729195,0.9489214766568091,14.398759583105175,87.41666971187819
2020-08-29,248,157.72320807672318,7.48850034240433,28.12885476083892,62.302382135805686
2020-08-30,249,157.27345703615242,7.053006778531182,28.14064307430783,65.05057041839825
2020-08-31,276,161.3515094259511,11.147321620750205,25.227077515220557,55.601679937000604
2020-09-01,184,138.3134682033373,-11.87497477719607,17.727378451734452,77.6268760630814
2020-09-02,246,141.92784917567803,-8.244648371106415,4.025242878415611,64.70508077357485
2020-09-03,264,129.4939692179362,-20.662289021791327,5.338793825466595,70.78834731850048
2020-09-04,268,165.14892584957292,15.009110366826778,31.49755612578531,64.1436511780966
2020-09-05,260,161.20149884737455,11.077525179045978,26.928737055313164,56.14979574104683
2020-09-06,235,156.57841555331618,6.470851830018223,23.682619652044565,61.383064896470685
2020-09-07,268,137.1885315510764,-12.904011619473518,9.32308684694489,71.39256053703
2020-09-08,270,161.61222215440537,11.536285088975468,27.641540475659312,56.56674735562696
2020-09-09,241,126.01714605434307,-24.041876636197387,-1.0976388746925352,70.41298120822717
2020-09-10,255,150.88772367589613,0.8438114230286993,26.358369250357867,73.13273728345094
2020-09-11,248,153.089094309653,3.0620394421464976,21.479331446131482,63.848162382548416
2020-09-12,202,133.57330353991821,-16.438405200543627,2.2197270059612038,68.25724775964537
