fold_id,space_fold,time_fold,n_train,n_test,feature,impurity_importance,feature_group
space1_time3,1,3,599,50,era5_avg_snlwrfcs,0.03052311574519006,Atmospheric
space1_time3,1,3,599,50,hour,0.07721371591423874,Time
space1_time3,1,3,599,50,latitude,0.07971099726524282,Space
space1_time3,1,3,599,50,longitude,0.05369321854605513,Space
space2_time0,2,0,600,38,era5_swvl1,0.04148557965112102,Atmospheric
space2_time0,2,0,600,38,era5_stl1,0.04980356456802474,Atmospheric
space2_time0,2,0,600,38,era5_cl,0.0030020181439711683,Atmospheric
space2_time0,2,0,600,38,era5_cvl,0.002247281826448406,Atmospheric
space2_time0,2,0,600,38,era5_cvh,0.00377701964774297,Atmospheric
space2_time0,2,0,600,38,era5_tvl,0.0012658042251253924,Atmospheric
space2_time0,2,0,600,38,era5_tvh,0.0015532491293111692,Atmospheric
space2_time0,2,0,600,38,era5_siconc,0.0002168464953551448,Atmospheric
space2_time0,2,0,600,38,era5_asn,0.0008149903498913289,Atmospheric
space2_time0,2,0,600,38,era5_sst,0.02483855390612196,Atmospheric
space2_time0,2,0,600,38,era5_slt,0.0032890556250512034,Atmospheric
space2_time0,2,0,600,38,era5_lai_lv,0.0030309498497606145,Atmospheric
space2_time0,2,0,600,38,era5_lai_hv,0.006249320988733703,Atmospheric
space2_time0,2,0,600,38,era5_sp,0.02599607998390994,Atmospheric
space2_time0,2,0,600,38,era5_tcw,0.034902487872963,Atmospheric
space2_time0,2,0,600,38,era5_tcwv,0.04411675761435613,Atmospheric
space2_time0,2,0,600,38,era5_msl,0.021070455978127515,Atmospheric
space2_time0,2,0,600,38,era5_t2m,0.06508358210752105,Atmospheric
space2_time0,2,0,600,38,era5_lsm,0.019864801556779967,Atmospheric
space2_time0,2,0,600,38,era5_lcc,0.021081774043889147,Atmospheric
space2_time0,2,0,600,38,era5_mcc,0.011243119221730746,Atmospheric
space2_time0,2,0,600,38,era5_hcc,0.013761690732892065,Atmospheric
space2_time0,2,0,600,38,era5_tco3,0.0281037680680214,Atmospheric
space2_time0,2,0,600,38,era5_skt,0.037088812798996014,Atmospheric
space2_time0,2,0,600,38,era5_tsn,0.03826537463406461,Atmospheric
space2_time0,2,0,600,38,era5_fal,0.02691000202881457,Atmospheric
space2_time0,2,0,600,38,era5_lmlt,0.039789082788589863,Atmospheric
space2_time0,2,0,600,38,era5_lict,0.05549953449526816,Atmospheric
space2_time0,2,0,600,38,era5_deg0l,0.041489223328925004,Atmospheric
space2_time0,2,0,600,38,era5_avg_sdlwrf,0.031753559863725044,Atmospheric
space2_time0,2,0,600,38,era5_avg_snlwrf,0.022017380049845586,Atmospheric
space2_time0,2,0,600,38,era5_avg_snlwrfcs,0.021457233743914204,Atmospheric
space2_time0,2,0,600,38,hour,0.05251157312592064,Time
space2_time0,2,0,600,38,latitude,0.10062701336837797,Space
space2_time0,2,0,600,38,longitude,0.10579245818670852,Space
space2_time1,2,1,577,38,era5_swvl1,0.04921661088359376,Atmospheric
space2_time1,2,1,577,38,era5_stl1,0.057495232564162266,Atmospheric
space2_time1,2,1,577,38,era5_cl,0.0031335731931157605,Atmospheric
space2_time1,2,1,577,38,era5_cvl,0.00213985330281527,Atmospheric
space2_time1,2,1,577,38,era5_cvh,0.0016593568001307636,Atmospheric
space2_time1,2,1,577,38,era5_tvl,0.002808376657870303,Atmospheric
space2_time1,2,1,577,38,era5_tvh,0.0018321511795974929,Atmospheric
space2_time1,2,1,577,38,era5_siconc,0.0002611693420317364,Atmospheric
space2_time1,2,1,577,38,era5_asn,0.000910729878924373,Atmospheric
space2_time1,2,1,577,38,era5_sst,0.026063655121585497,Atmospheric
space2_time1,2,1,577,38,era5_slt,0.0017569489309405158,Atmospheric
space2_time1,2,1,577,38,era5_lai_lv,0.0058224508091998155,Atmospheric
space2_time1,2,1,577,38,era5_lai_hv,0.00214718170691843,Atmospheric
space2_time1,2,1,577,38,era5_sp,0.033418203232312794,Atmospheric
space2_time1,2,1,577,38,era5_tcw,0.030921205607655187,Atmospheric
space2_time1,2,1,577,38,era5_tcwv,0.03509847814045151,Atmospheric
space2_time1,2,1,577,38,era5_msl,0.03126345735237648,Atmospheric
space2_time1,2,1,577,38,era5_t2m,0.06005941820254001,Atmospheric
space2_time1,2,1,577,38,era5_lsm,0.012412881524878763,Atmospheric
space2_time1,2,1,577,38,era5_lcc,0.019871536022135348,Atmospheric
space2_time1,2,1,577,38,era5_mcc,0.012547319704739775,Atmospheric
space2_time1,2,1,577,38,era5_hcc,0.01533834910844905,Atmospheric
space2_time1,2,1,577,38,era5_tco3,0.03805642867381523,Atmospheric
space2_time1,2,1,577,38,era5_skt,0.043624383725925135,Atmospheric
space2_time1,2,1,577,38,era5_tsn,0.038367037880141966,Atmospheric
space2_time1,2,1,577,38,era5_fal,0.02064155408427874,Atmospheric
space2_time1,2,1,577,38,era5_lmlt,0.04118664358406002,Atmospheric
space2_time1,2,1,577,38,era5_lict,0.06156178897719217,Atmospheric
space2_time1,2,1,577,38,era5_deg0l,0.06573800251447753,Atmospheric
space2_time1,2,1,577,38,era5_avg_sdlwrf,0.032128195780521715,Atmospheric
space2_time1,2,1,577,38,era5_avg_snlwrf,0.019441886591044212,Atmospheric
space2_time1,2,1,577,38,era5_avg_snlwrfcs,0.018071496572542634,Atmospheric
space2_time1,2,1,577,38,hour,0.06291254145579278,Time
space2_time1,2,1,577,38,latitude,0.08218754508373921,Space
space2_time1,2,1,577,38,longitude,0.06990435581004399,Space
space2_time2,2,2,600,74,era5_swvl1,0.05246810147541541,Atmospheric
space2_time2,2,2,600,74,era5_stl1,0.06274266435863411,Atmospheric
space2_time2,2,2,600,74,era5_cl,0.0006748167583428199,Atmospheric
space2_time2,2,2,600,74,era5_cvl,0.0012245616008795324,Atmospheric
space2_time2,2,2,600,74,era5_cvh,0.001957375340168521,Atmospheric
space2_time2,2,2,600,74,era5_tvl,0.0013250485949200263,Atmospheric
space2_time2,2,2,600,74,era5_tvh,0.000956739328111682,Atmospheric
space2_time2,2,2,600,74,era5_siconc,0.0005195371697479608,Atmospheric
space2_time2,2,2,600,74,era5_asn,0.0006274151016062044,Atmospheric
space2_time2,2,2,600,74,era5_sst,0.03685409358858736,Atmospheric
space2_time2,2,2,600,74,era5_slt,0.0016830413391500656,Atmospheric
space2_time2,2,2,600,74,era5_lai_lv,0.0013058101910232013,Atmospheric
space2_time2,2,2,600,74,era5_lai_hv,0.0030888556266789537,Atmospheric
space2_time2,2,2,600,74,era5_sp,0.02979938779106173,Atmospheric
space2_time2,2,2,600,74,era5_tcw,0.031918654158731206,Atmospheric
space2_time2,2,2,600,74,era5_tcwv,0.035269385179351666,Atmospheric
space2_time2,2,2,600,74,era5_msl,0.03170329333400009,Atmospheric
