variable,label,distance_bin,distance_start_km,distance_end_km,distance_mean_km,n_pairs,spatial_autocorrelation
era5_tcwv_log1p,log1p(total column water vapour),7,5411.962328295327,6313.956049677882,5784.053376310686,762,0.08444904725899452
era5_tcwv_log1p,log1p(total column water vapour),8,6313.956049677882,7215.949771060436,6704.564317751114,603,-0.08533063583444322
era5_tcwv_log1p,log1p(total column water vapour),9,7215.949771060436,8117.943492442991,7629.207724215055,459,-0.22232101007866473
era5_tcwv_log1p,log1p(total column water vapour),10,8117.943492442991,9019.937213825546,8566.468055533569,320,-0.2542866053761454
era5_tcwv_log1p,log1p(total column water vapour),11,9019.937213825546,9921.9309352081,9507.771715950392,188,0.010165751906697794
era5_tcwv_log1p,log1p(total column water vapour),12,9921.9309352081,10823.92466741458,10418.133901698027,69,0.36768377267459756
era5_wind10_speed_log1p,log1p(10 m wind speed),1,0.0,901.9937213825546,515.0510661829162,1083,0.535053072249794
era5_wind10_speed_log1p,log1p(10 m wind speed),2,901.9937213825546,1803.987442765109,1201.2087089807667,1694,0.3366297138469406
era5_wind10_speed_log1p,log1p(10 m wind speed),3,1803.987442765109,2705.9811641476635,2115.492159709931,1526,0.24049364664566047
era5_wind10_speed_log1p,log1p(10 m wind speed),4,2705.9811641476635,3607.974885530218,3033.3384182597306,1322,0.1119022275125369
era5_wind10_speed_log1p,log1p(10 m wind speed),5,3607.974885530218,4509.968606912773,3950.4810682698717,1124,0.08390491690954596
era5_wind10_speed_log1p,log1p(10 m wind speed),6,4509.968606912773,5411.962328295327,4867.039162655121,932,0.010909956836148814
era5_wind10_speed_log1p,log1p(10 m wind speed),7,5411.962328295327,6313.956049677882,5784.053376310686,762,-0.005557378330895887
era5_wind10_speed_log1p,log1p(10 m wind speed),8,6313.956049677882,7215.949771060436,6704.564317751114,603,0.10654133977611217
era5_wind10_speed_log1p,log1p(10 m wind speed),9,7215.949771060436,8117.943492442991,7629.207724215055,459,0.06570691778181087
era5_wind10_speed_log1p,log1p(10 m wind speed),10,8117.943492442991,9019.937213825546,8566.468055533569,320,0.01717960926458231
era5_wind10_speed_log1p,log1p(10 m wind speed),11,9019.937213825546,9921.9309352081,9507.771715950392,188,-0.09204886789218837
era5_wind10_speed_log1p,log1p(10 m wind speed),12,9921.9309352081,10823.92466741458,10418.133901698027,69,-0.20138222349036042
era5_tp_log1p,log1p(total precipitation),1,0.0,901.9937213825546,515.0510661829162,1083,0.22938402564520088
era5_tp_log1p,log1p(total precipitation),2,901.9937213825546,1803.987442765109,1201.2087089807667,1694,-0.0228965395227943
era5_tp_log1p,log1p(total precipitation),3,1803.987442765109,2705.9811641476635,2115.492159709931,1526,-0.0027636218332648143
era5_tp_log1p,log1p(total precipitation),4,2705.9811641476635,3607.974885530218,3033.3384182597306,1322,-0.01332484527876662
era5_tp_log1p,log1p(total precipitation),5,3607.974885530218,4509.968606912773,3950.4810682698717,1124,0.1089205793119246
era5_tp_log1p,log1p(total precipitation),6,4509.968606912773,5411.962328295327,4867.039162655121,932,-0.017228965052395098
era5_tp_log1p,log1p(total precipitation),7,5411.962328295327,6313.956049677882,5784.053376310686,762,0.006054781063086203
era5_tp_log1p,log1p(total precipitation),8,6313.956049677882,7215.949771060436,6704.564317751114,603,-0.022577992566289392
era5_tp_log1p,log1p(total precipitation),9,7215.949771060436,8117.943492442991,7629.207724215055,459,-0.012952176352732605
era5_tp_log1p,log1p(total precipitation),10,8117.943492442991,9019.937213825546,8566.468055533569,320,0.04029002538114079
era5_tp_log1p,log1p(total precipitation),11,9019.937213825546,9921.9309352081,9507.771715950392,188,-0.03977854208605983
era5_tp_log1p,log1p(total precipitation),12,9921.9309352081,10823.92466741458,10418.133901698027,69,-0.14655683757309937
era5_cp_log1p,log1p(convective precipitation),1,0.0,901.9937213825546,515.0510661829162,1083,0.16986531498339852
era5_cp_log1p,log1p(convective precipitation),2,901.9937213825546,1803.987442765109,1201.2087089807667,1694,-0.004080377623190141
era5_cp_log1p,log1p(convective precipitation),3,1803.987442765109,2705.9811641476635,2115.492159709931,1526,-0.013944270940649392
era5_cp_log1p,log1p(convective precipitation),4,2705.9811641476635,3607.974885530218,3033.3384182597306,1322,-0.0264281037301404
era5_cp_log1p,log1p(convective precipitation),5,3607.974885530218,4509.968606912773,3950.4810682698717,1124,0.05954697876251565
era5_cp_log1p,log1p(convective precipitation),6,4509.968606912773,5411.962328295327,4867.039162655121,932,0.0014530345830558967
era5_cp_log1p,log1p(convective precipitation),7,5411.962328295327,6313.956049677882,5784.053376310686,762,0.005942257754526989
era5_cp_log1p,log1p(convective precipitation),8,6313.956049677882,7215.949771060436,6704.564317751114,603,0.009549359588011126
era5_cp_log1p,log1p(convective precipitation),9,7215.949771060436,8117.943492442991,7629.207724215055,459,-0.03143343876102782
era5_cp_log1p,log1p(convective precipitation),10,8117.943492442991,9019.937213825546,8566.468055533569,320,-0.03235797311236965
era5_cp_log1p,log1p(convective precipitation),11,9019.937213825546,9921.9309352081,9507.771715950392,188,-0.047857903817737746
era5_cp_log1p,log1p(convective precipitation),12,9921.9309352081,10823.92466741458,10418.133901698027,69,-0.09958074344809535
era5_cape_log1p,log1p(CAPE),1,0.0,901.9937213825546,515.0510661829162,1083,0.6129135807642732
era5_cape_log1p,log1p(CAPE),2,901.9937213825546,1803.987442765109,1201.2087089807667,1694,0.3652243955679591
era5_cape_log1p,log1p(CAPE),3,1803.987442765109,2705.9811641476635,2115.492159709931,1526,0.22193715142491577
era5_cape_log1p,log1p(CAPE),4,2705.9811641476635,3607.974885530218,3033.3384182597306,1322,0.1963548633389053
era5_cape_log1p,log1p(CAPE),5,3607.974885530218,4509.968606912773,3950.4810682698717,1124,0.13808325941235536
era5_cape_log1p,log1p(CAPE),6,4509.968606912773,5411.962328295327,4867.039162655121,932,-0.018172203736844195
era5_cape_log1p,log1p(CAPE),7,5411.962328295327,6313.956049677882,5784.053376310686,762,-0.08371417393176261
era5_cape_log1p,log1p(CAPE),8,6313.956049677882,7215.949771060436,6704.564317751114,603,-0.09688438035150453
era5_cape_log1p,log1p(CAPE),9,7215.949771060436,8117.943492442991,7629.207724215055,459,-0.1351163978711952
era5_cape_log1p,log1p(CAPE),10,8117.943492442991,9019.937213825546,8566.468055533569,320,-0.1394194396059184
era5_cape_log1p,log1p(CAPE),11,9019.937213825546,9921.9309352081,9507.771715950392,188,-0.027930319843589464
era5_cape_log1p,log1p(CAPE),12,9921.9309352081,10823.92466741458,10418.133901698027,69,-0.044046131721975884
era5_blh_log1p,log1p(boundary layer height),1,0.0,901.9937213825546,515.0510661829162,1083,0.5670202903495908
era5_blh_log1p,log1p(boundary layer height),2,901.9937213825546,1803.987442765109,1201.2087089807667,1694,0.42115279965012486
era5_blh_log1p,log1p(boundary layer height),3,1803.987442765109,2705.9811641476635,2115.492159709931,1526,0.25578785691415146
era5_blh_log1p,log1p(boundary layer height),4,2705.9811641476635,3607.974885530218,3033.3384182597306,1322,0.08688021521529804
era5_blh_log1p,log1p(boundary layer height),5,3607.974885530218,4509.968606912773,3950.4810682698717,1124,0.03715692234735303
era5_blh_log1p,log1p(boundary layer height),6,4509.968606912773,5411.962328295327,4867.039162655121,932,-0.08661197669995153
era5_blh_log1p,log1p(boundary layer height),7,5411.962328295327,6313.956049677882,5784.053376310686,762,-0.12916826288327593
era5_blh_log1p,log1p(boundary layer height),8,6313.956049677882,7215.949771060436,6704.564317751114,603,-0.11885501989921385
